Date,Close,High,Low,Open,Volume,Return,Vol_5,MA_5
2008-10-01,669.75,690.25,666.0,683.25,31595,,,694.0
2008-10-02,636.0,677.75,631.0,669.75,37368,,,673.95
2008-10-03,640.25,654.25,631.25,636.75,28238,,,658.8
2008-10-06,595.25,633.25,588.5,631.75,46054,,,644.25
2008-10-07,603.25,615.75,594.0,598.5,35000,,,628.9
2008-10-08,608.0,619.5,586.25,604.25,29559,,,616.55
2008-10-09,604.75,621.5,600.0,609.75,29150,,,610.3
2008-10-10,563.5,591.75,557.75,586.25,40565,,,594.95
2008-10-13,588.5,595.0,565.25,571.0,27602,,,593.6
2008-10-14,573.0,609.5,570.0,597.0,28670,,,587.55
2008-10-15,555.75,579.75,554.0,573.25,37003,,,577.1
2008-10-16,555.25,561.5,543.0,554.75,37720,,,567.2
2008-10-17,566.25,571.25,555.25,564.75,27551,,,567.75
2008-10-20,563.5,579.0,554.0,565.0,32518,,,562.75
2008-10-21,549.0,571.5,546.0,564.5,31476,,,557.95
2008-10-22,517.75,553.5,516.0,552.5,31586,,,550.35
2008-10-23,523.0,537.75,518.75,520.75,30620,,,543.9
2008-10-24,516.25,539.5,496.5,534.0,36308,,,533.9
2008-10-27,529.5,531.5,502.5,525.5,29849,,,527.1
2008-10-28,514.0,549.5,511.25,528.75,35321,,,520.1
2008-10-29,561.25,574.0,517.0,527.75,53668,,,528.8
2008-10-30,538.0,578.5,530.5,560.5,44775,,,531.8
2008-10-31,536.25,542.5,524.5,540.0,44911,,,535.8
2008-11-03,562.0,575.0,532.75,538.75,50524,,,542.3
2008-11-04,572.5,587.75,547.5,552.75,38266,,,554.0
2008-11-05,537.25,580.25,533.25,571.75,46321,,,549.2
2008-11-06,522.5,539.5,513.5,537.5,46008,,,546.1
2008-11-07,521.0,529.5,516.5,520.0,39729,,,543.05
2008-11-10,520.0,536.25,505.25,528.25,57147,,,534.65
2008-11-11,523.25,526.0,505.25,519.25,50998,,,524.8
2008-11-12,533.0,555.0,508.5,522.0,71626,,,523.95
2008-11-13,538.25,568.5,521.25,535.0,81298,,,527.1
2008-11-14,554.25,559.75,529.0,550.0,51828,,,533.75
2008-11-17,533.75,567.0,525.5,551.5,43280,,,536.5
2008-11-18,529.75,548.5,526.75,535.0,32894,,,537.8
2008-11-19,527.0,540.5,525.25,530.25,24912,,,536.6
2008-11-20,511.75,524.75,500.5,521.0,39287,,,531.3
2008-11-21,499.0,514.0,496.0,507.0,28759,,,520.25
2008-11-24,537.5,559.0,501.25,502.25,42598,,,521.0
2008-11-25,534.0,542.5,528.5,537.75,28222,,,521.85
2008-11-26,535.5,546.5,525.5,537.25,31941,,,523.55
2008-11-28,542.5,546.25,531.5,545.25,21637,,,529.7
2008-12-01,509.75,543.0,503.5,541.75,19310,,,531.85
2008-12-02,509.75,519.75,504.5,508.0,14583,,,526.3
2008-12-03,500.75,514.25,500.0,511.0,9246,,,519.65
2008-12-04,467.75,500.0,467.0,498.25,5275,,,506.1
2008-12-05,457.75,468.5,455.0,468.25,4162,,,489.15
2008-12-08,473.0,481.5,467.0,474.75,2543,,,481.8
2008-12-09,472.25,478.5,472.0,475.25,2371,,,474.3
2008-12-10,492.5,492.5,471.75,471.75,916,,,472.65
2008-12-11,491.25,498.75,490.0,490.0,211,,,477.35
2008-12-12,506.75,508.0,476.0,492.0,40919,,,487.15
2008-12-15,520.0,534.25,516.0,516.5,24895,,,496.55
2008-12-16,544.0,552.0,515.0,519.25,33129,,,510.9
2008-12-17,557.5,561.0,540.5,552.75,37426,,,523.9
2008-12-18,571.5,575.5,553.5,556.5,32653,,,539.95
